"Zeitstempel","Weißt du, was True-Crime-Formate sind?","Hast du schon einmal ein True-Crime-Format geschaut oder gehört?","Wie oft schaust du True-Crime-Formate?","Warum schaust du True-Crime-Formate?(mehrfache Auswahl möglich)","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Bleibt mir mehr in Erinnerung]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich fühle mich den Charakteren näher]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich fiebere mehr mit]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich habe während des Schauens/Hörens Angst]","Welche Wirkung hat es auf dich, dass True-Crime-Formate auf wahren Fällen beruhen? [Ich habe nach dem Schauen/Hören Angst]","Glaubst du, dir könnten die gleichen Dinge passieren, die in True-Crime gezeigt werden?","Welche True-Crime-Formate schaust oder hörst du? (mehrfache Auswahl möglich)","Hältst du das deutsche Rechtssystem für gerecht? ","Denkst du, du könntest in Deutschland zu Unrecht verurteilt werden?","Sollten Polizisten deiner Meinung nach Body-Cams (Körperkameras) tragen müssen.","Welche Waffen sind deiner Meinung nach für eine*n Streifenpolizist*in angemessen? (mehrfache Auswahl möglich)","Hast du das Gefühl sicherer zu leben, weil es die Polizei in Deutschland gibt?","Wie wichtig ist in deinen Augen die Polizei in Deutschland?","Sind die Strafen in Deutschland bei Gewaltverbrechen zu harmlos?","Sollte die Todesstrafe in Deutschland eingeführt werden?","Wie fühlst du dich, wenn du abends alleine in einer dir unbekannten Gegend unterwegs bist?","Triffst du Vorkehrungen, wenn du Abends alleine unterwegs bist? (mehrfache Auswahl möglich)","Würdest du auf eigene Faust ermitteln, wenn ... [jemand Müll in deinen Garten wirft]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Auto einen Kratzer hat]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Auto geklaut wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [bei dir eingebrochen wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [du Drohbriefe erhälst]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Kind seit einem Tag verschwunden ist]","Würdest du auf eigene Faust ermitteln, wenn ... [jemand aus deinem engen Umfeld ermordet wurde]","Würdest du auf eigene Faust ermitteln, wenn ... [dein Kind entführt wurde]","Alter","Geschlecht","Berufliche Tätigkeit","Höchster Bildungsabschluss?","Welche Medien konsumierst du? (mehrfache Auswahl möglich)","Hattest du schon einmal Kontakt mit der Polizei? (mehrfach Auswahl möglich)"
"2022/03/16 5:17:18 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert","sehr stark","mittel","sehr stark","mittel","mittel","Ja","Aktenzeichen XY;Criminal Minds","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray;Unbewaffnet","5","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Ja","26-35","männlich","Angestellte*r","Master","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Zeug*in"
"2022/03/16 5:17:22 PM OEZ","Ja","Nein","","","","","","","","","","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","4","Ja","Nein","Ich fühle mich gelegentlich unwohl","Nein, ich schütze mich nicht besonders","Nein","Ja","Nein","Nein","Ja","Ja","Nein","Ja","19-25","männlich","Auszubildende*r","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts","Nein"
"2022/03/16 5:18:55 PM OEZ","Ja","Ja","Ein bis zweimal im Monat","Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert","sehr stark","Sehr schwach","sehr stark","mittel","mittel","Ja","Aktenzeichen XY;American Crime Story;Mordlust","1","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","2","2","Ja","Ja","Ich fühle mich gelegentlich unwohl","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Ja","Nein","Nein","Nein","Ja","Nein","Ja","19-25","weiblich","Angestellte*r","Mittlerer Abschluss","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio","Nein"
"2022/03/16 5:19:08 PM OEZ","Ich brauche eine Erklärung","Nein","","","","","","","","","","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Nein","Nein","Ich fühle mich gelegentlich unwohl","Nein, ich schütze mich nicht besonders","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","10-18","männlich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Radio","Nein"
"2022/03/16 5:24:21 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren","Sehr schwach","schwach","Sehr schwach","Sehr schwach","Sehr schwach","Nein","Aktenzeichen XY;Criminal Minds","2","Ja","Ja","Pistolen;Elektroschocker;Pfefferspray","2","3","Ja","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Ja","19-25","männlich","Student*in","Abitur","Social-Media;Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio","Ja, als Zeug*in"
"2022/03/16 5:31:36 PM OEZ","Ja","Nein","","","","","","","","","","4","Schon möglich","Ja","Pistolen;Elektroschocker;Pfefferspray","5","5","Nein","Nein","Ich fühle mich sicher","Nein, ich schütze mich nicht besonders","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","19-25","männlich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Radio","Nein"
"2022/03/16 5:33:20 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren","sehr stark","stark","Sehr schwach","mittel","stark","Ja","Aktenzeichen XY;Medical Detectives","3","Ja","Ja","Elektroschocker;Schlagstock","3","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Ja","Ja","Nein","Nein","Nein","Ja","Ja","Ja","19-25","männlich","Dualer Student","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.)","Nein"
"2022/03/16 5:39:11 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert;man lernt ziemlich viel dazu","sehr stark","schwach","stark","schwach","mittel","Nein","Aktenzeichen XY;True Crime Stories von Dr. Tsokos (dt. Rechtsmediziner)","4","Nein","Ja","Pistolen;Elektroschocker;Pfefferspray","5","5","Ja","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Ja, ich gebe Freunden bescheid;seh zu, dass das Handy geladen ist","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Podcasts","Nein"
"2022/03/16 5:39:43 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Zur Unterhaltung","sehr stark","stark","stark","sehr stark","stark","Ja","Was so läuft ","3","Schon möglich","Ja","Elektroschocker;Pfefferspray","5","5","Ja","Nein","Ich habe schon meistens Angst","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Nein","Ja","Ja","Ja","Ja","Ja","Ja","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Serien im linearen Fernsehen;Podcasts;Radio","Ja, als Zeug*in"
"2022/03/16 5:40:53 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert","sehr stark","sehr stark","sehr stark","sehr stark","sehr stark","Ja","Lucia Leona;Jarow","2","Ja","Ja","Elektroschocker;Schlagstock;Pfefferspray","3","5","Ja","Nein","Ich habe schon meistens Angst","Ja, ich nutze Sicherheitsapps;Ja, ich gebe Freunden bescheid","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","19-25","weiblich","Auszubildende*r","Fachabitur / Fachhochschulreife","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Nein"
"2022/03/16 5:45:01 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Zur Unterhaltung","mittel","Sehr schwach","stark","schwach","schwach","Nein","Hab den Namen des Filmes vergessen aber da war Jake Gylenhall (oder wie der heißt) dabei","4","Unwahrscheinlich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Ja","Ja","Ja","Nein","Ja","Ja","Ja","Ja","19-25","männlich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Serien im linearen Fernsehen;Filme im linearen Fernsehen;Podcasts","Ja, als Opfer"
"2022/03/16 5:45:26 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert;Weil es gerade läuft","stark","schwach","stark","mittel","schwach","Nein","Mindhunter;Criminal Minds","3","Nein","Ja","Pistolen;Schlagstock;Pfefferspray","4","5","Ja","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Ja","19-25","männlich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Zeug*in"
"2022/03/16 5:46:10 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert","stark","mittel","sehr stark","schwach","schwach","Nein","Irgendso eine bei Netflix ","4","Unwahrscheinlich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","5","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","10-18","männlich","Student*in","Abitur","Social-Media;Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Nein"
"2022/03/16 5:51:54 PM OEZ","Ich brauche eine Erklärung","Nein","","","","","","","","","","4","Unwahrscheinlich","Nein","Elektroschocker;Pfefferspray","4","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","19-25","männlich","Student*in","Abitur","Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.)","Nein"
"2022/03/16 5:52:41 PM OEZ","Ich brauche eine Erklärung","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren;Weil mich die Polizeiarbeit interessiert","stark","Sehr schwach","stark","schwach","schwach","Nein","Don‘t fuck with cats ","3","Ja","Nein","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Ja","Nein","Ich fühle mich gelegentlich unwohl","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Ja","19-25","männlich","Student*in","Abitur","Social-Media;Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Ja, als Opfer;Ja, als Zeug*in"
"2022/03/16 5:54:19 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Zur Unterhaltung","stark","mittel","Sehr schwach","Sehr schwach","Sehr schwach","Ja","YouTube ","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Ja","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Ja","Ja","Ja","Ja","Ja","19-25","männlich","Angestellte*r","Mittlerer Abschluss","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Podcasts","Ja, als Opfer;Ja, als Zeug*in"
"2022/03/16 5:56:22 PM OEZ","Ich brauche eine Erklärung","Nein","","","","","","","","","","3","Schon möglich","Ja","Elektroschocker;Schlagstock;Pfefferspray","3","3","Ja","Nein","Ich fühle mich gelegentlich unwohl","Ja, ich telefoniere","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","26-35","weiblich","Student*in","Master","Social-Media;Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.)","Nein"
"2022/03/16 6:04:22 PM OEZ","Ja","Nein","","","","","","","","","","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Nein, ich schütze mich nicht besonders","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","19-25","männlich","Angestellte*r","Abitur","Ich konsumiere selten Medien","Nein"
"2022/03/16 6:14:22 PM OEZ","Ja","Ja","Ein bis zweimal im Monat","Zur Unterhaltung","stark","stark","stark","schwach","mittel","Ja","American Crime Story;Mindhunter;Auf Ex;Criminal Minds","3","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","4","Ja","Nein","Ich fühle mich gelegentlich unwohl","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Nein","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio","Nein"
"2022/03/16 6:17:06 PM OEZ","Ja","Nein","","","","","","","","","","3","Schon möglich","Ja","Maschinengewehre;Pistolen;Elektroschocker;Schlagstock;Pfefferspray","3","4","Ja","Ja","Ich habe schon meistens Angst","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Nein","Ja","Ja","Ja","Ja","Ja","Ja","19-25","weiblich","Angestellte*r","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Filme im linearen Fernsehen;Radio","Ja, beruflich"
"2022/03/16 6:18:15 PM OEZ","Ja","Ja","Ein bis zweimal im Monat","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren","stark","stark","sehr stark","mittel","schwach","Nein","Aktenzeichen XY;Maximilian Pollux","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Nein","Nein","Ich fühle mich gelegentlich unwohl","Ja, ich gebe Freunden bescheid;Nein, ich schütze mich nicht besonders","Ja","Nein","Nein","Nein","Nein","Ja","Nein","Ja","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Filme im linearen Fernsehen;Podcasts","Ja, als Beschuldigte*r;Ja, als Zeug*in"
"2022/03/16 6:23:06 PM OEZ","Ja","Ja","Ein bis zweimal die Woche","Zur Unterhaltung;Weil mich die Motive der Verbrecher interessieren","mittel","Sehr schwach","mittel","stark","stark","Ja","Aktenzeichen XY;Auf Ex;Criminal Minds","2","Unwahrscheinlich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","4","Ja","Ja","Ich habe schon meistens Angst","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","19-25","weiblich","Angestellte*r","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Serien im linearen Fernsehen;Filme im linearen Fernsehen;Podcasts;Radio","Nein"
"2022/03/16 6:37:52 PM OEZ","Ja","Ja","Weniger als einmal im Monat","Zur Unterhaltung;Weil es gerade läuft","mittel","mittel","stark","mittel","mittel","Ja","Criminal Minds","4","Unwahrscheinlich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Ja","Nein","Ich fühle mich gelegentlich unwohl","Ja, ich telefoniere;Ja, ich nutze Sicherheitsapps;Ja, ich gebe Freunden bescheid","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","19-25","weiblich","Student*in","Abitur","Social-Media;Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts","Ja, beruflich"
"2022/03/16 6:48:53 PM OEZ","Ja","Ja","Ein bis zweimal die Woche","Weil mich die Motive der Verbrecher interessieren","stark","stark","sehr stark","stark","stark","Ja","Aktenzeichen XY;Mordlust;Criminal Minds","2","Unwahrscheinlich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray","4","5","Ja","Nein","Ich habe schon meistens Angst","Ja, ich telefoniere;Ja, ich nutze Sicherheitsapps;Ja, ich gebe Freunden bescheid","Nein","Nein","Nein","Nein","Ja","Ja","Nein","Ja","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio","Nein"
"2022/03/16 6:50:48 PM OEZ","Ja","Nein","","","","","","","","","","4","Schon möglich","Ja","Elektroschocker;Schlagstock;Pfefferspray","5","5","Nein","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Ja, ich gebe Freunden bescheid","Ja","Ja","Nein","Nein","Ja","Nein","Nein","Nein","19-25","männlich","Student*in","Fachabitur / Fachhochschulreife","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Radio","Nein"
"2022/03/16 6:51:34 PM OEZ","Ja","Nein","","","","","","","","","","4","Unwahrscheinlich","Ja","Elektroschocker;Schlagstock","4","5","Nein","Nein","Ich fühle mich gelegentlich unwohl","Ja, ich telefoniere;Ja, ich gebe Freunden bescheid","Nein","Ja","Ja","Nein","Nein","Ja","Nein","Nein","19-25","weiblich","Student*in","Abitur","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio","Ja, als Zeug*in"
"2022/03/16 6:52:23 PM OEZ","Ich brauche eine Erklärung","Nein","","","","","","","","","","4","Schon möglich","Ja","Pistolen;Elektroschocker;Schlagstock;Pfefferspray;Unbewaffnet","4","5","Ja","Nein","Ich fühle mich schon sicher, bin aber besonders aufmerksam","Ja, ich gebe Freunden bescheid;Nein, ich schütze mich nicht besonders","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","19-25","männlich","Student*in","Bachelor","Social-Media;Nachrichten des Öffentlich-Rechtlichen-Rundfunks (Tagesschau, ZDF heute... etc.);Nachrichten (Bild, Welt... etc.);Serien bei Streaminganbietern (Netflix, Disney+... etc.);Filme bei Streaminganbietern (Netflix, Disney+... etc.);Podcasts;Radio;Ich konsumiere selten Medien","Ja, als Opfer;Ja, als Zeug*in"
